switch_ip,interface,mac_voice,mac_access,ip_voice,ip_access
192.168.164.5,Gi1/0/3,0076.86fd.2f73,0023.2497.c34c,192.168.165.158,192.168.164.79
192.168.164.5,Gi1/0/4,000a.4142.5fef,84a9.3e09.b681,192.168.165.177,192.168.164.168
192.168.164.5,Gi1/0/5,N/A,0025.b3f6.bdc5,N/A,192.168.164.20
192.168.164.5,Gi1/0/6,94d4.690b.0097,5cff.35df.0b4a,192.168.165.65,192.168.164.181
192.168.164.5,Gi1/0/8,N/A,b00c.d16f.6476,N/A,192.168.202.171
192.168.164.5,Gi1/0/9,0076.86fc.e557,6400.6a79.6eb6,192.168.165.70,192.168.164.62
192.168.164.5,Gi1/0/11,N/A,34ed.1b8d.87cc,N/A,192.168.202.62
192.168.164.5,Gi1/0/12,f8b7.e295.6b71,c8d9.d27f.7bdb,192.168.165.155,192.168.164.81
192.168.164.5,Gi1/0/13,1ce6.c79b.4f65,6400.6a79.6db1,192.168.165.168,192.168.164.68
192.168.164.5,Gi1/0/14,N/A,2017.4263.a76b,N/A,192.168.202.61
192.168.164.5,Gi1/0/15,203a.0782.569d,6400.6a79.f879,192.168.165.55,192.168.164.66
192.168.164.5,Gi1/0/16,0038.df01.f825,3417.ebda.e353,192.168.165.53,192.168.164.69
192.168.164.5,Gi1/0/17,0008.308a.4134,14c9.13a7.f1b6,192.168.165.169,192.168.164.94
192.168.164.5,Gi1/0/18,94d4.690c.af38,fc4d.d432.1c1f,192.168.165.56,192.168.164.111
192.168.164.5,Gi1/0/19,N/A,f4bd.9ed1.32a0,N/A,192.168.202.153
192.168.164.5,Gi1/0/20,44e4.d945.c150,N/A,192.168.165.60,N/A
192.168.164.5,Gi1/0/21,N/A,0010.8353.f8c0,N/A,192.168.164.99
192.168.164.5,Gi1/0/22,aca0.16fc.e8e3,N/A,192.168.165.51,N/A
192.168.164.5,Gi1/0/24,N/A,001e.8fd6.7e6f,N/A,192.168.164.19
192.168.164.5,Gi1/0/26,N/A,785d.c8be.e09c,N/A,192.168.164.74
192.168.164.5,Gi1/0/27,N/A,00e0.db54.8f82,N/A,192.168.164.61
192.168.164.5,Gi1/0/28,34f8.e76c.fcfa,0023.2498.0e27,192.168.165.73,192.168.164.65
192.168.164.5,Gi1/0/30,N/A,a08c.fded.90f0,N/A,192.168.164.178
192.168.164.5,Gi1/0/31,0076.86fd.2ad9,4437.e6b6.8c69,192.168.165.156,192.168.164.183
192.168.164.5,Gi1/0/32,7018.a716.7a52,a08c.fde7.26d0,192.168.165.68,192.168.164.67
192.168.164.5,Gi1/0/34,0076.86fd.2fc3,fc4d.d432.1c23,192.168.165.172,192.168.164.93
192.168.164.5,Gi1/0/35,N/A,785d.c8be.df60,N/A,192.168.164.51
192.168.164.5,Gi1/0/36,0038.df01.6e2d,84a9.3e09.1c7f,192.168.165.63,192.168.164.82
192.168.164.5,Gi1/0/37,a4b4.39c3.b050,c8d9.d27f.7b8b,192.168.165.152,192.168.164.80
192.168.164.5,Gi1/0/38,f8b7.e295.6a1f,c8d9.d27f.7c4f,192.168.165.154,192.168.164.77
192.168.164.5,Gi1/0/39,0038.df01.f07f,fc4d.d432.1b39,192.168.165.72,192.168.164.108
192.168.164.5,Gi1/0/40,5006.ab81.9b96,N/A,192.168.165.64,N/A
192.168.164.5,Gi1/0/41,0038.df01.f355,6400.6a79.f80a,192.168.165.175,192.168.164.71
192.168.164.5,Gi1/0/42,f8b7.e295.3484,e8d8.d150.2a12,192.168.165.62,192.168.164.88
192.168.164.5,Gi1/0/43,0076.86fc.a0c3,c8d3.ffb7.04e2,192.168.165.157,192.168.164.72
192.168.164.5,Gi1/0/44,203a.0782.3051,N/A,192.168.165.59,N/A
192.168.164.5,Gi1/0/45,N/A,509a.4c4b.ca07,N/A,192.168.164.58
